ts,side,entry,gap_pct,outcome,pnl_pts,pnl_dollars_gross,pnl_dollars_net,long_prob,short_prob,period
2024-06-28,SHORT,5612.0,0.012859269954428543,1,16.83600000000024,841.800000000012,826.800000000012,0.0,0.0,biden
2024-07-01,SHORT,5598.5,0.013624224867605061,1,16.795500000000175,839.7750000000087,824.7750000000087,0.0,0.0,biden
2024-07-08,SHORT,5691.0,0.01227321237993606,1,17.07300000000032,853.650000000016,838.650000000016,0.0,0.0,biden
2024-07-11,SHORT,5751.0,0.011387118047922584,1,17.2529999999997,862.6499999999851,847.6499999999851,0.0,0.0,biden
2024-07-19,SHORT,5653.5,0.010771912573190878,1,16.96050000000014,848.0250000000069,833.0250000000069,0.0,0.0,biden
2024-07-22,SHORT,5656.25,0.01845599819941479,1,16.96875,848.4375,833.4375,0.0,0.0,biden
2024-07-24,LONG,5610.75,-0.009401483050847426,-1,-22.44300000000021,-1122.1500000000106,-1137.1500000000106,0.0,0.0,biden
2024-07-25,LONG,5471.75,-0.011337970909747974,1,16.415249999999105,820.7624999999553,805.7624999999553,0.0,0.0,biden
2024-07-26,SHORT,5536.0,0.01741327819894334,1,16.608000000000175,830.4000000000087,815.4000000000087,0.0,0.0,biden
2024-07-31,SHORT,5543.25,0.011219045012997642,-1,-22.172999999999774,-1108.6499999999887,-1123.6499999999887,0.0,0.0,biden
2024-08-01,LONG,5578.0,-0.007473309608540979,1,16.73399999999947,836.6999999999734,821.6999999999734,0.0,0.0,biden
2024-08-02,LONG,5456.0,-0.014762313213850353,-1,-21.823999999999614,-1091.1999999999807,-1106.1999999999807,0.0,0.0,biden
2024-08-06,SHORT,5284.0,0.015519146687166696,1,15.851999999999862,792.5999999999931,777.5999999999931,0.0,0.0,biden
2024-08-08,SHORT,5280.75,0.009945015539086777,-1,-21.122999999999593,-1056.1499999999796,-1071.1499999999796,0.0,0.0,biden
2024-08-09,SHORT,5392.0,0.008180245874818803,1,16.176000000000386,808.8000000000193,793.8000000000193,0.0,0.0,biden
2024-08-20,SHORT,5687.0,0.010662875422072116,1,17.060999999999694,853.0499999999847,838.0499999999847,0.0,0.0,biden
2024-08-21,SHORT,5691.5,0.012542252268279652,1,17.074499999999716,853.7249999999858,838.7249999999858,0.0,0.0,biden
2024-08-22,LONG,5658.75,-0.007585057874429979,1,16.97624999999971,848.8124999999854,833.8124999999854,0.0,0.0,biden
2024-08-23,SHORT,5686.5,0.018082535135619082,1,17.0595000000003,852.9750000000149,837.9750000000149,0.0,0.0,biden
2024-08-27,LONG,5623.25,-0.013205229446345501,1,16.86974999999984,843.487499999992,828.487499999992,0.0,0.0,biden
2024-09-02,LONG,5657.0,-0.010841056128693793,1,16.97099999999955,848.5499999999774,833.5499999999774,0.0,0.0,biden
2024-09-09,SHORT,5521.0,0.008217677136596047,1,16.563000000000102,828.1500000000051,813.1500000000051,0.0,0.0,biden
